Episode,Total steps,Total reward
0,597,2547.0
1,99,77.0
2,236,1698.0
3,245,785.0
4,255,423.0
5,235,413.0
6,235,418.0
7,111,65.0
8,231,1295.0
9,332,1101.0
10,234,820.0
11,278,1708.0
12,169,87.0
13,305,500.0
14,497,2119.0
15,253,795.0
16,251,519.0
17,385,1998.0
18,216,1019.0
19,382,808.0
20,243,594.0
21,130,217.0
22,161,976.0
23,230,1303.0
24,223,181.0
25,274,990.0
26,278,294.0
27,362,1353.0
28,186,187.0
29,263,1020.0
30,106,95.0
31,195,305.0
32,254,1089.0
33,253,69.0
34,231,1208.0
35,361,176.0
36,295,298.0
37,322,1381.0
38,117,65.0
39,332,263.0
40,108,62.0
41,139,66.0
42,305,1501.0
43,268,500.0
44,245,89.0
45,176,396.0
46,460,2172.0
47,389,588.0
48,112,181.0
49,272,414.0
50,113,80.0
51,283,169.0
52,269,187.0
53,278,2706.0
54,174,517.0
55,163,90.0
56,237,177.0
57,136,192.0
58,108,66.0
59,169,192.0
60,281,705.0
61,268,310.0
62,102,80.0
63,209,499.0
64,268,305.0
65,631,2945.0
66,189,164.0
67,216,1307.0
68,286,386.0
69,280,73.0
70,235,759.0
71,100,66.0
72,260,66.0
73,181,613.0
74,488,2013.0
75,218,1198.0
76,224,328.0
77,232,191.0
78,478,4404.0
79,286,180.0
80,140,63.0
81,161,178.0
82,236,1702.0
83,180,282.0
84,186,400.0
85,355,600.0
86,185,87.0
87,241,1113.0
88,308,317.0
89,230,191.0
90,209,1312.0
91,278,988.0
92,225,295.0
93,392,989.0
94,494,2034.0
95,290,2089.0
96,184,323.0
97,198,188.0
98,278,1415.0
99,290,1705.0
